source_term,sense_id,agreement,finalization_status,blocker_codes,semantic_directive,record_sha256
CUDA,d2lce_ebd36388b50538b928ebbb4a,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,d8aff1c01f562941f9e9d57b9d35ea55e74aa91e65f6278c70e5ef1f1796dcf0
custom layer,d2lce_4d2b37402e25d2f56746ea23,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,305efeafed938de43316da092e3b2419adb4caebebad3ad01d6668e2070acb05
discrete random variables,d2lce_e1a7c8e04c91b48272b3b5ee,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,c320377508e34029a3617dc3492158b3269eafb5051fe03641223747b6ffcd73
eigendecomposition,d2lce_10d4d01fa40b67d92527e5ed,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,4bf3b56bd32aee6bd9f353d91488aeb3c7f1e3f4d006443683e84e6f5b63799b
Entailment,d2lce_ca2ca961829e131bbc0fd92b,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,8766122a8ba05074885b7638df3e73375e3d0866c3103fb370a81dfdbf994a74
forward propagation,d2lce_fbe9efe0d390976cb31e5af7,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,e873dc9485cb40fcf1c4c56d1c35537341f027ad1924713440398b0b091995c9
frontend,d2lce_24988c975f984ef488776c0b,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,f47ac3b6ff89144a32e619c68af4d52baacf2dc15e6153c2921403cf3b28eb50
fully-connected layers,d2lce_98b37a7bcb47cd2ef2e5f296,MAJORITY_2_OF_3,ADJUDICATION_REQUIRED,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;NON_UNANIMOUS_CORE_DECISION;REVIEWER_PROVENANCE_INCOMPLETE;UNSUPPORTED_DETAIL_SYNTHETIC_ONLY,ADJUDICATION_REQUIRED,dda58e52599b0473911e4ead10b1333a3a3eb895043684f39e2f9823b707ba86
Generator,d2lce_73c8ce2915c4c64a52fab4a2,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,de23144fe0a883b2cc3c984abef43c630bc4aa159ae64ad07dee17302f30c729
Gradient Clipping,d2lce_8d226b48ba7ec1493faa4ec8,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,6573367b0995449bb3643a5f3e9de7289f63c291a5bbf88d98080c4d140065b2
hidden layer,d2lce_401e038a0835f7c5733a9857,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,5c1ee115ef8d9cff7e34ad284081f7b655aced0525644bb919dac8badaeffe33
hypothesis,d2lce_dbb300a90e4b0f8b815b5e12,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,36d14c84cd550c1747e5f6746792920b3fe40e0eeeccea1f00b55840988c868c
in place,d2lce_2684090fd4500122fec2a334,MAJORITY_2_OF_3,SPLIT_REQUIRED,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;NON_UNANIMOUS_CORE_DECISION;REVIEWER_PROVENANCE_INCOMPLETE;SENSE_AND_POS_CONFLATION;UNRESOLVED_REVIEW_STATUS,SPLIT_REQUIRED,29df81773b5e846d58381c509a50201d0757f45dd1be42bdf1614de4fa48165a
Initialization,d2lce_8373decbb6e405f0386ec8a0,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,df895e362431dc63d47d2dd1225d0cb792d96dabfdec7ee5d854f0bb8223a2e0
input gate,d2lce_c6c1c6e96c39b88a9f94e8d9,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,a7350236a558665cea205f610fe03a5768d22d0cadf515e6a6c1077bc26d057b
integration,d2lce_9372cdb5752db6ba6fa38fbd,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,4f56cb7b71fbebf431e2c6cbb9b789fd349dea508b1cb6ce559eb1481289ebe9
iteration,d2lce_c3c46748b1a49e32c07ca9d7,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,3da606ce0230597f1c8336bae48dd829dad4ea5b825db2fda1d6e95021046a35
Jupyter notebook,d2lce_1a91fdded89249a5cd89ec14,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,c03b7eadf1c886400af5666075045f3fe6c609917b2b2f848ec76e838ed6d745
