term_id,sense_id,source_term,split,risk_class,risk_reasons,active_real_positive_context_count,review_requirement,risk_record_sha256
d2lce_11e1c294000ac67785408dcd,d2lce_11e1c294000ac67785408dcd,null hypothesis,development,R0_CLEAR,CLEAR_V3_STRATUM_WITH_REAL_POSITIVE_CONTEXT,8,BLIND_AUDIT_RANDOM_10_TO_20_PERCENT,a7b00e850af0d937b3f36be021e4092e7c1a5cb2dd628bbc52a3eaaab48e52ee
d2lce_144baca5ccb9be2154705e92,d2lce_144baca5ccb9be2154705e92,dependency,validation,R2_MISSING,NO_GLOSSARY_MATCH,7,ONE_REVIEWER_REQUIRED,1b940f7996ca621f83cc6f646c4e1253ecc34df557e6fa6d1001380fd8eff824
d2lce_152a9bcc9b8b5f6cc5586c54,d2lce_152a9bcc9b8b5f6cc5586c54,minibatch size,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,6,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,e08ea3931cd6bb84b8e2b86d1e567017e6d501bee76f0c9dee704a6cd87af692
d2lce_18c3da2d5bdd6d05a83982fa,d2lce_18c3da2d5bdd6d05a83982fa,attention scoring function,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,943eb6dad497d47ce81dcfea394f4d6bf7c6e7b8f04e17994cbb9f9ce407ad2f
d2lce_1a91fdded89249a5cd89ec14,d2lce_1a91fdded89249a5cd89ec14,Jupyter notebook,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,666bc1733839717a2bf4431da7efad80e00e38de89d09ff6f0fe2ecfbb1f6442
d2lce_1cc990a2aa4f03a55ea8c851,d2lce_1cc990a2aa4f03a55ea8c851,object detection model,development,R2_MISSING,NO_GLOSSARY_MATCH,7,ONE_REVIEWER_REQUIRED,14ac5b427d6c4f8c8f325e1487c293c9fe5d946ec138fe134e0d4213cb7f417f
d2lce_1edc567804c90f134219a8f0,d2lce_1edc567804c90f134219a8f0,synchronize,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,762ce74ff147f809227cb236cbfe15d4b39cd9fcbe3dcb6d6ebff192fefe46bb
d2lce_1ff0c13e857af8ab6956fc96,d2lce_1ff0c13e857af8ab6956fc96,statistical inference,validation,R3_AMBIGUOUS,MULTIPLE_GLOSSARY_ENTRIES|V3_STRATUM_COLLISION_OR_MULTI_TARGET,2,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,e4e7f118ae5ce31eba99c5b3b87e59043887ebce436d5ffcd5dfb1b99f1e7848
d2lce_20a7e6887718c68fb6b88a05,d2lce_20a7e6887718c68fb6b88a05,beta,development,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,e0b303b7376cfac404b51fbe70e52ec6d3d2fd4a85275888b68830cb6c8a0d43
d2lce_20c658fd4e221ee551790ec2,d2lce_20c658fd4e221ee551790ec2,blocks,test,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,6a533797b01334911d55cf7013c7fd74d5b792d2294e9934c6e554ed950e7794
d2lce_20dc13bc32661f00e7c68b89,d2lce_20dc13bc32661f00e7c68b89,DenseNet,test,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,7a44c6c631c114a7e1b02efef748f9e0b191f0105673f240dc81b20b8d4f159f
d2lce_22496a6fabe26e046ad5d5ac,d2lce_22496a6fabe26e046ad5d5ac,generalization,validation,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,3,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,1893145b7a5c4b8719969ff411ecc95a224fc34a14b4c5e480676898c1e62a94
d2lce_2485cc2d1b2606bcc62d63c1,d2lce_2485cc2d1b2606bcc62d63c1,sigmoid activation function,development,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,415442352ddc106251d424e3c9ed123a710c124543097de81d99293f74089c90
d2lce_24988c975f984ef488776c0b,d2lce_24988c975f984ef488776c0b,frontend,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,ff47cacba7876e6ed60061e71c2fce880ffe7168d6f52135e6c1b1bd3d2ebae7
d2lce_2684090fd4500122fec2a334,d2lce_2684090fd4500122fec2a334,in place,development,R4_SPLIT_OR_POS_RISK,KNOWN_SPLIT_OR_POS_CASE,8,MANDATORY_ADJUDICATION,5a6679015c750567bc3f8b7cc6fb81d1db29048e50d9e1ce79745639650b70a3
d2lce_270e1a75bb70807d9c2dd507,d2lce_270e1a75bb70807d9c2dd507,channels,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,5,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,f750753a3e6bf661e20c5b0d7a6b5041323b95be2d509cb3c47047bd7bfac7e0
d2lce_28ab2b419f6b871a62a06060,d2lce_28ab2b419f6b871a62a06060,Approximate Training,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,04ab91a9da8b726f29e001685d59333dc5ba3f5800d2c0b91f1a6a3cfb93d1bb
d2lce_2b76c0f26436945cdf880aed,d2lce_2b76c0f26436945cdf880aed,statistical power,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,1,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,f13722186ac0814fdefb09c349ebe084f9672220899b47d226411f3c52e79a9f
d2lce_2b9f63478b6ef59511a4f930,d2lce_2b9f63478b6ef59511a4f930,pooling layer,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,4,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,48fae28522fa64239b7ad86ca49a9f33bdd05b55d86f586a22b73585d29bb9d9
d2lce_2e41378b04489016bfe5707a,d2lce_2e41378b04489016bfe5707a,semantic segmentation,test,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,6,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,926ab37d7223d366b782d996420c8f6db5952b94fd1ff39274c81990d6775a3d
d2lce_355f5686f2178281893eb6cb,d2lce_355f5686f2178281893eb6cb,SSDs,test,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,3,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,67bdc0882eeb0aabdc88c66772ef9f4cf1ae105846c408858e1f791b8d726ab9
d2lce_35df896f9860f8aac814ce37,d2lce_35df896f9860f8aac814ce37,PCIe,test,R2_MISSING,NO_GLOSSARY_MATCH,3,ONE_REVIEWER_REQUIRED,12f0577044cd4cab61fa2e337949d0b6ee62485607e21efc40056fd496f2b553
d2lce_382e4bbab285d56a08249753,d2lce_382e4bbab285d56a08249753,contexts,development,R3_AMBIGUOUS,KNOWN_BLIND_OR_LEGACY_ADJUDICATION_CASE,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,23e2cb719713370fdb1956db0bf20ab19eed4f4736c0833c7afb2807f2ccce63
d2lce_3b6a75bdbf023ea1f3ed2cc8,d2lce_3b6a75bdbf023ea1f3ed2cc8,regression,validation,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,5,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,02e317cb856690a99342beaa84b9dba052d48ae46c8716bb5f79cf6e85f23ee1
d2lce_3e633e212e54590ca20bfc99,d2lce_3e633e212e54590ca20bfc99,norm,test,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,5,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,01661872387963f94520063a44aff28de1b8269111ffcfa09d215ef720da8a37
d2lce_401e038a0835f7c5733a9857,d2lce_401e038a0835f7c5733a9857,hidden layer,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,a6e1b235013cdd19078c538f4ad0fa66ee7c6dd78cbcadf93252b19fdc84d038
d2lce_40a50503f2fdc79aa0a549fc,d2lce_40a50503f2fdc79aa0a549fc,Sequential,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,5,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,4595f8bc45b1b879fb14c4f31bca76114a7e754d322cd633b2682172160010cf
d2lce_41109297e6bf8f44d9bb9178,d2lce_41109297e6bf8f44d9bb9178,question answering,validation,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,72f558345159ef2dff8375cac76286ac980263f03dd3bbab8e1f0611e0d5e7ad
d2lce_42900db05a19228ce33eafe0,d2lce_42900db05a19228ce33eafe0,ReLU activation,development,R2_MISSING,NO_GLOSSARY_MATCH,7,ONE_REVIEWER_REQUIRED,909527664421c8858cf3ad9cace462dadbb72dd60ada58ce3a14977897e22e49
d2lce_43488a3e1f15598ac9b1b6bc,d2lce_43488a3e1f15598ac9b1b6bc,RNN encoder-decoder,test,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,85ce74544786dae16028fc8a4638b82ffcc66ab834b209d977b0dbf9e37a3a15
d2lce_455f2de181035ca8388c30b0,d2lce_455f2de181035ca8388c30b0,minima,development,R2_MISSING,NO_GLOSSARY_MATCH,7,ONE_REVIEWER_REQUIRED,43006c2c94f18a3a2c3a52668084fbbcae19dda940d99f99842f95e40a024c9f
d2lce_46e81052dcb25b16e429062a,d2lce_46e81052dcb25b16e429062a,constant,test,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,7,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,57da3acc0575929b7ef0ebc7b5ab2222cc413796c59663eea8866e547741ad88
d2lce_49603071e9c21eb4bcbdf1e7,d2lce_49603071e9c21eb4bcbdf1e7,mean squared error,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,a4b873b5f2af4a10c789ea0825c04b238515027a32c0500619770da6a598226a
d2lce_499fa9391d57e930a19f1b19,d2lce_499fa9391d57e930a19f1b19,broadcasting,development,R2_MISSING,NO_GLOSSARY_MATCH,7,ONE_REVIEWER_REQUIRED,8f0a9d818243cbc17d8e33821f68d4d843cb2dda23893b9c2808e005ae3c314f
d2lce_4a5f20bb32b66b1f07d9f37a,d2lce_4a5f20bb32b66b1f07d9f37a,attention,validation,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,3,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,a082b5ab2293eb1e4c8359fc11d0c46d0c514f0065cdd6a831d9964694f17410
d2lce_4abd762bcd34d370b4fe6498,d2lce_4abd762bcd34d370b4fe6498,BatchNorm,development,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,eef87b5ff5e73486b432c332e1c2bdf8155de0c6f4d5293fd67ca48d632d23fb
d2lce_4d2b37402e25d2f56746ea23,d2lce_4d2b37402e25d2f56746ea23,custom layer,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,214e50c4634d98a6d3196c885f9e603e7f542e49241430864333fbe30f34cfdd
d2lce_4f85955c4fd10e184dc97d32,d2lce_4f85955c4fd10e184dc97d32,observation,validation,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,6,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,81425cbfae1d704a1ac042146985cf6b002bd2fa351ffd138b3091616749d452
d2lce_52085fef12f840d2350b2049,d2lce_52085fef12f840d2350b2049,Caser,development,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,da0f262fcb2a3578d255da7969e41ab045d4b7d33cce73b1f5ecc35f04329ba5
d2lce_5300144b7f5b4ce29dd12ec6,d2lce_5300144b7f5b4ce29dd12ec6,spatial dimensions,development,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,e10416f0ca08d64dcb244d689ef39b77df66d5574d28e2651f42b49290887cdb
d2lce_539543a2360129e2a2fa1b6d,d2lce_539543a2360129e2a2fa1b6d,affine transformation,development,R2_MISSING,NO_GLOSSARY_MATCH,7,ONE_REVIEWER_REQUIRED,14684d6e08f3fd8e4f4395ac7d73c8a01c39e14a1a7ab3ed9ac37a286485b05d
d2lce_53c32398310471fac3dacf35,d2lce_53c32398310471fac3dacf35,bit,development,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,4020c2678b9c029e9863ff6e712101b8f023f8a9378f13bfc7a1dad8171619a5
d2lce_54e0621e7c3812cb511231dc,d2lce_54e0621e7c3812cb511231dc,lanes,test,R2_MISSING,NO_GLOSSARY_MATCH,7,ONE_REVIEWER_REQUIRED,7be42648e3bd54d396ab035fba52ff9f51f6e278931e380b01e6df739ab5b1e5
d2lce_5c270f3b3ebe4f0059649e18,d2lce_5c270f3b3ebe4f0059649e18,noise words,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,4e561b8583afe178f7b6c1b57c621bf2d6d10b193ddce0334176b2fa68a702a0
d2lce_609638f74bc5b32d32469bbc,d2lce_609638f74bc5b32d32469bbc,natural language processing,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,7,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,5ab3b8e11cb91a00b5e6cb887662a8babb1274fc879ac54743a4273e6b5b837c
d2lce_6239b2ef1cec1800e3d6f13f,d2lce_6239b2ef1cec1800e3d6f13f,Concept Shift,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,9791b8bfbb6bc89aab120ae03a65860c9a885e1aeaa4bc943e6b064bb71b32e9
d2lce_658174b1687c73f5aa1957ab,d2lce_658174b1687c73f5aa1957ab,Tanh Function,validation,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,576be9a63b5a2667210d40faaec76500ae1cd1a60008b94bf6406793ccaa9a06
d2lce_6898a7f7f35ca368f75fda48,d2lce_6898a7f7f35ca368f75fda48,multi-GPU training,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,7,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,2d543e04bcab9333434200c9bad10e6d92732da682fd8266cf090597ff3b22ff
d2lce_6b1b75f43b72ec9bace62065,d2lce_6b1b75f43b72ec9bace62065,transpose,test,R2_MISSING,NO_GLOSSARY_MATCH,7,ONE_REVIEWER_REQUIRED,c725f66fff545ea15395e285c75411e2aa72bd5a38f3c61e595b68c3040550d2
d2lce_6c7e95cd232fb7fcca6b3bdc,d2lce_6c7e95cd232fb7fcca6b3bdc,Control Flow,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,f5bc8d46fd1ca8de9450d6d08033be39133030b2ca5d2c3320ddc60b609dc703
d2lce_6f20c5222ebea4830603817b,d2lce_6f20c5222ebea4830603817b,symbols,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,85bb8880c122ec3f64b6aecc41d0801e68922004e8f6b46977b1c0e9b800fc7f
d2lce_6f3afd43e74e8d70778dc0c8,d2lce_6f3afd43e74e8d70778dc0c8,Warmup,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,7,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,30d1fcd346f1c1630dfdacb832a5bb5fa6f59ca4c21e77ef66334f6797a3f31f
d2lce_7070b47672fcb2311c0527b6,d2lce_7070b47672fcb2311c0527b6,classification problems,validation,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,7,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,ddb456e9b94d7b863b5f971f0422d79bd202da52bd6f34477f22093cd4f3a009
d2lce_73c8ce2915c4c64a52fab4a2,d2lce_73c8ce2915c4c64a52fab4a2,Generator,development,R2_MISSING,NO_GLOSSARY_MATCH,6,ONE_REVIEWER_REQUIRED,52dc1ff2f930bc0e9ba8ce7ade011f75de215a38864afa8c22598b20a3be8ae1
d2lce_73dbe839de3f1d00bf1226f0,d2lce_73dbe839de3f1d00bf1226f0,uncertainty,validation,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,d0ae56227672b215242ae3145f70d3615caaa4c8014bb82ae704b0996e098d5a
d2lce_776fd3328d5e31aeebe484ec,d2lce_776fd3328d5e31aeebe484ec,keys,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,6,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,e5906ac2665512bf3d175448c499fec882f81f46b6101ced183699af452ebcde
d2lce_7be1455c48134d411f51fe7c,d2lce_7be1455c48134d411f51fe7c,VGG network,test,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,de4a52d5e11c557341c07e5b5359826dcfcad33fa1049cef9ac291545bf037fe
d2lce_7c27fa40b039d07e81508741,d2lce_7c27fa40b039d07e81508741,convolution kernel,validation,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,5,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,2127ae1cb8ece12a640163d19d13f2057c9652d94b4533c715df2a6bf8b2f576
d2lce_7d7b617aacd41c76538d06af,d2lce_7d7b617aacd41c76538d06af,constructor,development,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,3acdf61268ca8f6357cbd9d55dc8827c1b683aec1dd8c91dc0b59c6710ebee28
d2lce_7d91b65d1e0031ab994be237,d2lce_7d91b65d1e0031ab994be237,shape,validation,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,6,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,2f87eca85d4cabaf351162fc748749d9e047050ebd866651f9febc7bb55664dd
d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,Adam,development,R3_AMBIGUOUS,KNOWN_BLIND_OR_LEGACY_ADJUDICATION_CASE,6,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,b942f771e63a3c747c8722448c12c77f9096ab616d171dbffc22c6537cc31b9c
d2lce_80f4d6555a6ea1d2e5e881a1,d2lce_80f4d6555a6ea1d2e5e881a1,bidirectional RNN,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,a37ed69491824d6f3e55860a8f7f17f063b23777299a9f74b36e325d75fe3950
d2lce_8373decbb6e405f0386ec8a0,d2lce_8373decbb6e405f0386ec8a0,Initialization,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,7,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,b0cf54e20586365ec0452ab66320cd632ac716664bddfe69bac00c36c648580c
d2lce_88251c1ff8b5d3756955ca7b,d2lce_88251c1ff8b5d3756955ca7b,region of interest pooling layer,development,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,294a07fe120b936a284d3133344c04ffd6f82c8bba542d194245aaa4fd0a811a
d2lce_89406dadb8c277a1b688698c,d2lce_89406dadb8c277a1b688698c,address,validation,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,4,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,cb7491a07c46929aa5596597957e5209f94b335cc9108de625018d3be54a1596
d2lce_8d226b48ba7ec1493faa4ec8,d2lce_8d226b48ba7ec1493faa4ec8,Gradient Clipping,development,R0_CLEAR,CLEAR_V3_STRATUM_WITH_REAL_POSITIVE_CONTEXT,7,BLIND_AUDIT_RANDOM_10_TO_20_PERCENT,5686dd8a8a797cab9299bbe0c360f31d1dcfdb4f8ed490154a752b566c07f19b
d2lce_8de4d36bcb2f1ad2291dd52e,d2lce_8de4d36bcb2f1ad2291dd52e,feature interactions,test,R2_MISSING,NO_GLOSSARY_MATCH,5,ONE_REVIEWER_REQUIRED,319ad560b693a004ebf5fa2fecbe438a2958736c8a1354c19337c6600ef4c851
d2lce_91002293cea2184b43995f47,d2lce_91002293cea2184b43995f47,switch,test,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,1,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,29c9567a52da57e37e39a5c1df44df131b529c1d8108c5c396bbc7f280e8a74c
d2lce_9199c3ba27076b186a42df23,d2lce_9199c3ba27076b186a42df23,generalization error,validation,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,173904563f23240295f6dcd429f1e86f2ec256bb5cd558dc86c473ccd3835532
d2lce_9372cdb5752db6ba6fa38fbd,d2lce_9372cdb5752db6ba6fa38fbd,integration,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,6,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,7afd340d00ce2234436655b91854a0a10a54fee2bb79f7f8a23fc713c40fd229
d2lce_963a14fc5042969e330bb020,d2lce_963a14fc5042969e330bb020,two-dimensional cross-correlation operation,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,42b0aa8efb2c8e4ccf5c46000e6c4314414ea0676c529c508a36e026352e9377
d2lce_98211ac6b2c27c6359ce6dae,d2lce_98211ac6b2c27c6359ce6dae,inverse,test,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,702240d88e761a1522a48ab369fb7d84b88917722444083815d4778ed1b7f4fd
d2lce_98b37a7bcb47cd2ef2e5f296,d2lce_98b37a7bcb47cd2ef2e5f296,fully-connected layers,development,R3_AMBIGUOUS,KNOWN_BLIND_OR_LEGACY_ADJUDICATION_CASE,7,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,9079915848c69ff6dd3ff6194450e1b5098a86868b84a10c9a922028e491ddb2
